Unnamed: 0,Country,Producer,System Designation ,SizeClass,Remarks ,OperationalRole,Airframe,TailConfig,WingForm,WingConfig,BodyConfig,EngineType,LaunchMethod,Mission,MaxSpeed_kmh,CruiseSpeed_kmh,Endurance_h,Range_km,ActualRange_km,MTOW_kg,PayloadEnduranceProduct_kgh,Payload_kg,AnchorPayload_kg,Ceiling_km,EngPower_hp,Wingspan_m,Length_m,Height_m,sources,Unnamed: 30,EnduranceFlag,PayloadFraction,PowerLoading_hp_per_kg,MissionTags,IsConfigVariant,PayloadEnduranceProduct_kgh_derived,HasAnchorPayload,SizeClassStd,DerivedRange_km,RangeKind,BestRange_km,StallSpeed_kmh,Airfoil,AspectRatio_NTNU,Chord_est_m_NTNU,PropDiameter_m,NTNU_ref
161.0,China (PR ),DSTECHUAS,Gmini G-50 VTOL UAV,CR,Hybrid (DLA116 EFI engine + Electric),CC,FW/RW,inv-V,T,H,Tboom,H,VTOL,ISR,160.0,87.0,4.0,150.0,,50.0,60.0,15.0,,,12.0,4.8,2.58,0.85,,,normal,0.3,0.24,ISR,False,60.0,False,Small,348.0,derived_cruise_datalink_likely,348.0,,,,,,
913.0,UAE,EDGE Adasi,QX4,CR,max payload 7kg,M,FW,,,,,H,VTOL,ISR,140.0,,13.0,150.0,,42.0,65.0,7.0,5.0,,,3.3,2.8,0.7,,,normal,0.1666666666666667,,ISR,False,91.0,True,Small,,derived_max_datalink_likely,1183.0,,,,,,
1258.0,USA,Textron Systems,Aerosonde Mk. 4.7 VTOL ,MR,Heavy fuel piston engine (Lycoming EL-005,M,FW,,,,Tboom,H,VTOL,ISR,,120.0,14.0,140.0,,54.4,126.0,9.0,,,4.0,4.4,,,,,normal,0.1654411764705882,0.0735294117647058,ISR,False,126.0,False,Small,1680.0,derived_cruise_datalink_likely,1680.0,,,,,,
792.0,South Korea,Korean Aerospace Industries,Night Intruder 500VT,MR,"Hybrid-electric (electric and gasoline), tilt rotor",M,FW,V,R,H,WT,H,VTOL,ISR,,,5.0,,,450.0,200.0,40.0,,,,4.3,4.0,,,,normal,0.0888888888888888,,ISR,False,200.0,False,Tactical,,none,,,,,,,
5.0,Algeria,Star Aviation,AL faier L -10,CR,,DP,FW,C,R,H,WT,P,CTOL,ISR,175.0,,,150.0,,,,70.0,,,32.0,2.3,,,,,normal,,,ISR,False,,False,,,range_only_low_conf,150.0,,,,,,
1333.0,United Kingdom,Callen-Lenz,Fregata,Small,"S2-class ISR fixed-wing UAV. Catapult-launched variant of Koios — same 35 kg/4 m airframe family, but pure fixed-wing (no VTOL lift motors), giving 11 h endurance vs Koios's 7 h. Pneumatic catapult launch; skid landing on unprepared surfaces. 35 cc 4-stroke multi-fuel piston (Jet A1, kerosene, gasoline, SAF). Datalink 190 km. Mission management SC3. Launch crew 3 (pilot, launch commander, catapult loader). Box-to-launch 10 min; training 5 days. Payload options identical to Koios. Lightweight carry cases, transportable by medium-wheelbase van.",M,FW,inv-V,T,H,Tboom,P,Catapult,ISR,,93.0,11.0,750.0,750.0,35.0,,2.0,2.0,,,4.0,,,,,normal,,,,True,,True,,,,,,,,,,
1326.0,China (PR),MMC UAV / 科比特航空,MMC Putian Diao H3200,Tactical,"扑天雕 H3200 ('Sky-Pouncing Eagle'). Empty mass 55 kg (excl. fuel). Endurance band 9–10 h (stored midpoint). 550 cc fuel-injected piston with starter-generator, DC 1000 W/28 V electrical output. Engine cruise 4900–5200 rpm, max 6400 rpm. Cruise fuel 10–12 L/h; 120 L tank; China NS-95 petrol, 2T 40:1 mix. Propeller 33 in. Rocket booster 17 kN, 2.0±0.2 s (20°C), ≤23 kg. Protection IP54. Op temp −25°C to +60°C. Min turn radius 450 m. Climb 5 m/s. Pitch ±15°, roll ±28°. Wind level 7. RCS <0.01 m². Anti-jamming: broadband frequency-hopping comms; multi-array/multi-band positioning + INS. Speeds also given as 40/55/62 m/s (stall/cruise/max).",DP,FW,tail-less,d,,WT,P,RATO,ISR,223.0,198.0,9.5,1850.0,1850.0,200.0,,50.0,,4.5,,3.2,3.5,,,,normal,,,,False,,False,,,,,144.0,,,,0.8382,
401.0,Iran,Iran Aircraft Manufacturing Industries (HESA ),Ababil -T ,CR,,M,FW,winglets,swept,canard,WT,P,Catapult,ISR,,,,150.0,,,,30.0,,,,,,,puplished data,,normal,,,ISR,False,,False,,,range_only_low_conf,150.0,,,,,,
483.0,Israel,Meteor Aerospace,Impact -1400,MALE,Heavy Fuel ,M,FW,T,T,H,WT,P,CTOL,ISR,,,,250.0,,,,,,,,,,,,,normal,,,ISR,False,,False,,,range_only_low_conf,250.0,,,,,,
540.0,Mexico,Hydra Technologies,S45 Báalam,SR,Twin eng ,DP,FW,H-boom,T,H,Tboom,P,CTOL,ISR,,,12.0,120.0,,,120.0,10.0,,4.5,,6.11,,,company website,,normal,,,ISR,False,120.0,False,,,range_only_low_conf,120.0,,,,,,
372.0,Indonesia,Aero Terrascan,Ma410 ,SR,Petrol ,DP,FW,tail-less,swept,,FW,P,Catapult,ISR,,,8.0,,,,8.0,1.0,,,,,,,,,normal,,,ISR,False,8.0,False,,,none,,,,,,,
251.0,Estonia,Thread Systems,Stream C Integrator,MR,,M,FW,inv-V,T,M,Tboom,P,CTOL,ISR,,,,,,,,,,,,,,,,,normal,,,ISR,False,,False,,,none,,,,,,,
31.0,Australia,Silvertone Electronics (Australian UAV Techno ),Sparrow,CR,,CC,FW,tail-less,d,,FW,P,,ISR,,,24.0,,,,1080.0,45.0,,,,,,,,,normal,,,ISR,False,1080.0,False,,,none,,,,,,,
801.0,South Korea,Korean Air -Aerospace Division (KAL -ASD ),KUS-VT,CR,,DP,FW/RW,,,,,P,VTOL,ISR,220.0,200.0,6.0,200.0,,,180.0,30.0,,,,5.2,3.5,,,,normal,,,ISR,False,180.0,False,,1200.0,derived_cruise_datalink_likely,1200.0,,,,,,
36.0,Austria,Diamond Aircraft,DA42 ,MR,"OPA , Piston (2× Austro Engine AE 330 turbocharged)",DP,FW,T,T,L,WT,P,CTOL,ISR,320.0,200.0,12.0,1300.0,2500.0,2000.0,7608.0,634.0,,,336.0,13.55,8.56,2.49,,,normal,0.317,0.168,ISR,False,7608.0,False,HALE,2400.0,actual,2500.0,,,,,,
1082.0,USA,Boeing Company,Phantom Eye ,HALE,"Hydrogen , Piston (2× Ford 2.3L, liquid hydrogen-fueled)",M,FW,,,,WT,P,CartAssisted,ISR,320.0,240.0,96.0,,,4445.0,19680.0,205.0,,,300.0,46.0,16.2,,,,normal,0.046119235095613,0.0674915635545556,ISR,False,19680.0,False,HALE,23040.0,derived_cruise,23040.0,,,,,,
893.0,Turkey,Turkish Aerospace Industries (TAI ),Aksungur ,MALE,SATCOM PD-170 Dual Turbo Diesel,M,FW,,,,,P,CTOL,ISR,330.0,250.0,50.0,250.0,,3300.0,,0.0,,,340.0,24.2,12.5,3.1,,,normal,0.0,0.103030303030303,ISR,True,0.0,False,HALE,12500.0,derived_cruise_datalink_likely,12500.0,,,,,,
119.0,China (PR ),Beijing University of Aeronautics &Astronautics (BUAA ),BZK-005,MALE,,M,FW,boom,T,L,Tboom,P,CTOL,ISR,210.0,180.0,40.0,2000.0,,1250.0,6000.0,150.0,,,,18.0,10.05,2.5,,,normal,0.12,,ISR,False,6000.0,False,MALE,7200.0,derived_cruise_datalink_likely,7200.0,,,,,,
125.0,China (PR ),CASC -CAAA (see above ),CH -3 A,MR,Rotax 914,M,FW,winglets,swept,M,WT,P,CTOL,ISR,260.0,200.0,12.0,200.0,,650.0,720.0,60.0,60.0,,115.0,8.0,5.2,2.3,,,normal,0.0923076923076923,0.1769230769230769,ISR,False,720.0,True,MALE,2400.0,derived_cruise_datalink_likely,2400.0,,,,,,
695.0,Russian Fed .,"Transas (Kronshtadt ,acquired by Sistema Group)",Dozor -3,SR,Rotax 914F,DP,FW,Y,T,H,WT,P,CTOL,ISR,210.0,150.0,16.0,,,600.0,1600.0,100.0,,,115.0,12.0,7.0,,,,normal,0.1666666666666667,0.1916666666666667,ISR,False,1600.0,False,MALE,2400.0,derived_cruise,2400.0,,,,,,
1015.0,USA,AeroVehicles,Berkut ISR ,MALE,eng Lycoming IO-360,DP,FW,,,,,P,CTOL,ISR,425.0,334.0,20.0,2700.0,,1370.0,9000.0,450.0,,,180.0,8.7,5.63,2.28,,,normal,0.3284671532846715,0.1313868613138686,ISR,False,9000.0,False,MALE,6680.0,derived_cruise_datalink_likely,6680.0,,,,,,
458.0,Israel,IAI -Malat Division,Heron (Mahatz ),MALE,Rotax 914 piston engine (115 hp,M,FW,boom,T,H,Tboom,P,CTOL,ISR,260.0,150.0,45.0,250.0,,1270.0,11250.0,250.0,,6.0,115.0,16.6,8.5,,,,normal,0.1968503937007874,0.0905511811023622,ISR,False,11250.0,False,MALE,6750.0,derived_cruise_datalink_likely,6750.0,,,,,,
444.0,Israel,Elbit Systems,Hermes 1500,MALE,2 x Rotax 914 turbo ,M,FW,V,T,H,WT,P,CTOL,ISR,240.0,185.0,24.0,,,1750.0,10800.0,450.0,,6.0,230.0,15.0,9.0,,,,normal,0.2571428571428571,0.1314285714285714,ISR,False,10800.0,False,MALE,4440.0,derived_cruise,4440.0,,,,,,
887.0,Turkey,Turkish Aerospace Industries (TAI ),Anka -A (Phoenix ),MALE,"Surveillance  Piston (Thielert Centurion 2.0S, 155 hp)",M,FW,,,,,P,CTOL,ISR,217.0,203.76,24.0,200.0,,1500.0,4800.0,200.0,,9.1,155.0,17.3,8.6,3.25,,,normal,0.1333333333333333,0.1033333333333333,ISR,False,4800.0,False,MALE,,derived_max_datalink_likely,3385.2,,,,,,NTNU:TAI Anka 
898.0,Turkey,Vestel Defence Industries,Karayel -U ,MRE,"97hp ,Extended wing ",M,FW,,,,,P,CTOL,ISR,148.0,,20.0,150.0,,630.0,1400.0,70.0,,,97.0,13.0,6.5,2.11,,,normal,0.1111111111111111,0.153968253968254,ISR,False,1400.0,False,MALE,,derived_max_datalink_likely,1924.0,,,,,,
13.0,Argentina,Center for Applied Research,Vigia 2B,MALE,Piston (Rotax 915 iS/ISC)	,M,FW,Y,R,H,WT,P,CTOL,ISR,213.0,,14.0,,,1020.0,2100.0,150.0,,,135.0,12.0,8.3,,,,normal,0.1470588235294118,0.1323529411764706,ISR,False,2100.0,False,MALE,,derived_max_estimated,1938.3,,,,,,
830.0,Spain,INTA,Milano ,MR,(Based on Silva ),M,FW,,,,,P,CTOL,ISR,250.0,,20.0,,,900.0,2400.0,120.0,,,,12.5,8.5,2.3,,,normal,0.1333333333333333,,ISR,False,2400.0,False,MALE,,derived_max_estimated,3250.0,,,,,,
467.0,Israel,IAI -Malat Division,Super Heron,MALE,"LOS -Satellite Opt ., Heavy-fuel (diesel/JP-8) turbodiesel engine 200 hp",M,FW,boom,T,H,Tboom,P,CTOL,ISR,278.0,150.0,45.0,250.0,,1450.0,21150.0,470.0,,7.0,200.0,17.0,9.0,,,,normal,0.3241379310344827,0.1379310344827586,ISR,False,21150.0,False,MALE,6750.0,derived_cruise_datalink_likely,6750.0,,,,,,
910.0,UAE,EDGE Adasi,REACH - M,MR,can be armed,M,FW,,,,,P,CTOL,ISR,,175.0,24.0,200.0,,1500.0,8400.0,350.0,,,,17.0,,,,,normal,0.2333333333333333,,ISR,False,8400.0,False,MALE,4200.0,derived_cruise_datalink_likely,4200.0,,,,,,
1225.0,USA,Raspet Flight Research Laboratory,Teros,SR,Piston (Lycoming IO-235 with FADEC),DV,FW,,,,WT,P,CTOL,ISR,241.0,115.0,24.0,,,816.0,4344.0,181.0,,,116.0,12.1,6.1,,,,normal,0.2218137254901961,0.142156862745098,ISR,False,4344.0,False,MALE,2760.0,derived_cruise,2760.0,,,,,,
1016.0,USA,AeroVehicles,Berkut ISR long wing,MALE,eng Lycoming IO-360,DP,FW,,,,,P,CTOL,ISR,260.0,220.0,36.0,6600.0,6600.0,1370.0,16200.0,450.0,,,180.0,11.8,5.63,2.28,,,normal,0.3284671532846715,0.1313868613138686,ISR,False,16200.0,False,MALE,7920.0,actual,6600.0,,,,,,
1198.0,USA,Navmar Applied Sciences,Teros ,MRE,STOL ,DP,FW,,,,WT,P,CTOL,ISR,240.0,112.0,20.0,2700.0,2700.0,816.0,3620.0,181.0,,,116.0,12.0,6.0,,,,normal,0.2218137254901961,0.142156862745098,ISR,False,3620.0,False,MALE,2240.0,actual,2700.0,,,,,,
763.0,South Africa,Aerial Monitoring Solutions,Eagle Owl,CR,20cc,CC,FW,tail-less,swept,,FW,P,Catapult,ISR,200.0,100.0,5.5,10.0,,14.5,13.75,2.5,,,,2.5,1.1,0.2,,,normal,0.1724137931034483,,ISR,False,13.75,False,Mini,550.0,derived_cruise_datalink_likely,550.0,,,,,,
382.0,Indonesia,Lapan (National Institute of Aeronautics &Space ),LSU -02,Mini,,DP,FW,H-boom,R,H,Tboom,P,CTOL,ISR,100.0,,5.0,150.0,,15.0,15.0,3.0,,,,2.4,1.7,,paper,,normal,0.2,,ISR,False,15.0,False,Mini,,derived_max_or_range,325.0,,,,,,
639.0,Portugal,Portuguese Air Force Academy,Antex -M X03 ,MRE,,RA,FW,boom,R,H,Tboom,P,CTOL,ISR,150.0,,0.8,,,10.0,3.2,4.0,4.0,,,2.4,,,paper,,normal,0.4,,ISR,True,3.2,True,Mini,,derived_max_estimated,78.0,,,,,,
77.0,Canada,Advanced Ceramics Research,Silver Fox,Mini,"Cat Luncher , Piston eng",M,FW,T,R,H,WT,P,Catapult,ISR,95.0,80.0,10.0,40.0,,13.0,22.0,2.2,,,,2.39,1.47,0.3,,,normal,0.1692307692307692,,ISR,False,22.0,False,Mini,800.0,derived_cruise_datalink_likely,800.0,,,,,,
172.0,China (PR ),HiWING (CASIC ),HW -220,Mini,,DP,FW,boom,R,H,Tboom,P,Catapult,ISR,140.0,120.0,2.0,30.0,,18.0,10.0,5.0,,,,2.7,2.1,,,,normal,0.2777777777777778,,ISR,False,10.0,False,Mini,240.0,derived_cruise_datalink_likely,240.0,,,,,,
818.0,Spain,CATUAV,FUROS,Mini,,CC,FW,,,,,P,CTOL,ISR,145.0,,6.0,400.0,400.0,11.0,30.0,5.0,,,,,,,,,normal,0.4545454545454545,,ISR,False,30.0,False,Mini,,actual,400.0,,,,,,
376.0,Indonesia,BPPT (Agency for the Assessment and Application of Technology ),"BPPT 04A""Sriti """,Mini,Catapult Launched empthy weight 6kg,M,FW,tail-less,swept,,FW,P,Catapult,ISR,92.0,,2.0,50.0,,8.5,4.0,2.0,,,,2.98,,,papaer,,normal,0.2352941176470588,,ISR,False,4.0,False,Mini,,derived_max_or_range,119.6,,,,,,
,Armenia,UAVLAB,UL-350 (ICE),,"v0.8.29: New row, ICE variant of UL-350 family. Composite airframe. Pusher propulsion. Same airframe as UL-350 (electric); different propulsion package.",ISR,FW,tail-less,swept,M,FW,P,Catapult,ISR,,72.0,7.0,100.0,,15.0,,,,6.0,,3.5,,,,,,,,,True,,,Mini,,datalink_likely,100.0,,,,,,
253.0,Finland,Avartek,AR -3000,Mini,"Petrol ,Catapult -Lnchd, payload incl fuel 7.5kg ",CC,FW,C,T,H,WT,P,Catapult,ISR,,150.0,,20.0,,9.5,,,,,,3.0,1.67,,,,normal,,,ISR,False,,False,Mini,,range_only_low_conf,20.0,,,,,,
776.0,South Africa,Paramount Advanced Technologies,Roadrunner ,Mini,Fuel ,DP,FW,tail-less,swept,Joined-wing,WT,P,Catapult,ISR,,,2.0,40.0,,15.0,,,,,,1.5,,,datasheet,,normal,,,ISR,True,,False,Mini,,range_only_low_conf,40.0,,,,,,
671.0,Russian Fed .,Izhmash -Unmanned Systems,Granat -3,Mini,Piston engine ,M,FW,C,R,H,WT,P,Catapult,ISR,120.0,100.0,2.0,25.0,,7.0,,,,,,2.0,1.2,0.4,,,normal,,,ISR,False,,False,Mini,200.0,derived_cruise_datalink_likely,200.0,,,,,,
9.0,Argentina,Argentine Army,Lipan M4 ,CR,,M,FW,inv-V,T,H,Tboom,P,CTOL,ISR,,80.0,10.0,40.0,,60.0,200.0,20.0,,,,,,,,,normal,0.3333333333333333,,ISR,False,200.0,False,Small,800.0,derived_cruise_datalink_likely,800.0,,,,,,
457.0,Israel,IAI- Malat Division,Bird Eve 650D,CR,"Heavy Fuel , Pneumatic Launcher",DP,FW,tail-less,swept,,FW,P,Catapult,ISR,148.0,,15.0,150.0,,30.0,82.5,5.5,,3.0,,4.0,1.1,,,,normal,0.1833333333333333,,ISR,False,82.5,False,Small,,derived_max_datalink_likely,1443.0,,,,,,
